Ep.:    930, Loss: nan, Avg.Score: -43.30, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:47 
Ep.:    940, Loss: nan, Avg.Score: -37.80, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:01:48 
Ep.:    950, Loss: nan, Avg.Score: -41.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:49 
Ep.:    960, Loss: nan, Avg.Score: -42.40, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:50 
Ep.:    970, Loss: nan, Avg.Score: -39.80, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:51 
Ep.:    980, Loss: nan, Avg.Score: -40.60, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:52 
Ep.:    990, Loss: nan, Avg.Score: -43.40, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:53 
Ep.:   1000, Loss: nan, Avg.Score: -40.80, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:55 
Ep.:   1010, Loss: nan, Avg.Score: -43.70, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:56 
Ep.:   1020, Loss: nan, Avg.Score: -36.60, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:01:57 
Ep.:   1030, Loss: nan, Avg.Score: -45.70, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:01:58 
Ep.:   1040, Loss: nan, Avg.Score: -37.50, Avg.LenOfSnake: 5.10, Max.LenOfSnake:  6.00 Time: 00:01:59 
Ep.:   1050, Loss: nan, Avg.Score: -41.90, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:02:00 
Ep.:   1060, Loss: nan, Avg.Score: -43.40, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:02:01 
Ep.:   1070, Loss: nan, Avg.Score: -44.10, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:02:03 
Ep.:   1080, Loss: nan, Avg.Score: -41.00, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:02:04 
Ep.:   1090, Loss: nan, Avg.Score: -41.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:02:05 
Ep.:   1100, Loss: nan, Avg.Score: -42.90, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:02:06 
Ep.:   1110, Loss: nan, Avg.Score: -39.90, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:02:07 
Ep.:   1120, Loss: nan, Avg.Score: -44.10, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:02:09 
Ep.:   1130, Loss: nan, Avg.Score: -39.30, Avg.LenOfSnake: 5.07, Max.LenOfSnake:  6.00 Time: 00:02:10 
Ep.:   1140, Loss: nan, Avg.Score: -38.50, Avg.LenOfSnake: 5.10, Max.LenOfSnake:  6.00 Time: 00:02:11 
Ep.:   1150, Loss: nan, Avg.Score: -41.60, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:02:12 
Ep.:   1160, Loss: nan, Avg.Score: -43.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:02:13 
Ep.:   1170, Loss: nan, Avg.Score: -39.60, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:02:14 
Ep.:   1180, Loss: nan, Avg.Score: -38.30, Avg.LenOfSnake: 5.13, Max.LenOfSnake:  6.00 Time: 00:02:16 
Ep.:   1190, Loss: nan, Avg.Score: -42.30, Avg.LenOfSnake: 5.00, Max.LenOfSnake:  5.00 Time: 00:02:17 
Ep.:   1200, Loss: nan, Avg.Score: -42.00, Avg.LenOfSnake: 5.03, Max.LenOfSnake:  6.00 Time: 00:02:18 
length of scores:  1201 , len of avg_scores:  1201
mu:  5.67 , sigma:  0.5 , median:  6.0
